,Store_dma_id,Rack_time,To_the_door_time,Otd_time,Source_actor,Destination_type,Subtotal_amount_USD,Tip_USD
443,541,167.183,,175.1,iOS,Carryout,18.19,0.0
444,541,196.067,,210.45,iOS,Carryout,14.09,0.0
445,541,129.133,,138.717,iOS,Carryout,24.16,0.0
446,541,16.5,,28.533,iOS,Carryout,17.09,0.0
447,541,0.0,,9.033,iOS,Carryout,17.09,0.0
448,541,216.467,,224.283,iOS,Carryout,14.09,0.0
449,541,113.6,,119.95,iOS,Carryout,14.09,1.83
450,541,13.367,,19.817,iOS,Delivery,15.98,0.0
451,541,0.7,,9.25,iOS,Delivery,38.32,5.0
452,541,33.367,69.167,42.6,iOS,Delivery,29.98,0.0
453,541,2.6,,13.45,iOS,Delivery,28.15,3.24
454,541,12.233,52.017,24.783,iOS,Delivery,31.07,0.0
455,541,3.167,,11.783,iOS,Delivery,27.28,0.0
456,541,5.6,28.533,19.0,iOS,Delivery,26.68,2.44
457,541,2.083,,10.617,iOS,Delivery,23.08,0.0
458,541,7.983,,16.5,iOS,Delivery,16.08,4.0
459,541,1.2,12.917,10.033,iOS,Delivery,41.76,7.35
460,541,5.217,,14.6,iOS,Delivery,25.18,0.0
461,541,55.3,,63.283,Android,Carryout,43.27,0.0
462,541,13.267,,13.267,Android,Carryout,2.99,0.0
463,541,57.333,,67.433,Android,Carryout,14.09,0.0
464,541,8.083,,14.817,Android,Carryout,17.09,0.0
465,541,133.65,,144.883,Android,Carryout,33.27,0.0
466,541,3.567,17.083,12.067,Android,Delivery,21.47,2.47
467,541,1.133,,13.033,Android,Delivery,57.06,10.03
468,541,5.583,,18.167,Android,Delivery,21.54,3.01
469,541,0.233,18.75,10.133,Android,Delivery,23.08,3.62
470,541,2.7,,14.333,Android,Delivery,26.16,3.18
471,541,61.083,,69.383,DoorDash,Delivery,23.88,0.0
472,541,108.433,,116.033,DoorDash,Delivery,19.03,0.0
473,541,204.183,,212.383,DoorDash,Delivery,12.49,0.0
474,541,150.7,,160.117,DoorDash,Delivery,16.67,0.0
475,541,87.883,,99.367,DoorDash,Delivery,23.07,0.0
476,541,65.983,,73.717,DoorDash,Delivery,22.77,0.0
477,541,131.45,,141.65,DoorDash,Delivery,33.44,0.0
478,541,79.65,,87.35,DoorDash,Delivery,18.55,0.0
479,541,208.833,,218.567,DoorDash,Delivery,15.86,0.0
480,541,98.633,,114.0,DoorDash,Delivery,5.17,0.0
481,541,125.95,,135.9,DoorDash,Delivery,23.27,0.0
482,541,25.383,,37.217,DoorDash,Delivery,18.09,0.0
483,541,54.867,,62.85,DoorDash,Delivery,19.67,0.0
484,541,5.183,,12.767,PapaCall,Carryout,12.98,0.0
485,541,16.15,,25.45,PapaCall,Carryout,15.99,0.0
